               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098293,            0.013202,            0.026368,          0.00010643,             0.11265,          2.7793e-05,          3.6755e-06,            0.086132,             0.00804,            0.024091,             0.00043,             0.00043,             0.09613
                   1,            0.092658,            0.010436,            0.023889,          0.00011121,            0.091142,          1.5696e-05,          2.0987e-06,            0.086132,           0.0073575,            0.023189,          0.00086988,          0.00086988,             0.09217
                   2,            0.091605,            0.010054,            0.022976,             0.57925,            0.032787,            0.010749,           0.0024767,            0.084394,           0.0072942,            0.021883,           0.0013093,           0.0013093,            0.088209
                   3,            0.089813,            0.010424,            0.022694,             0.57768,            0.036066,            0.015241,           0.0027029,            0.082489,           0.0073531,            0.021535,           0.0017478,           0.0017478,            0.084248
                   4,            0.086451,            0.010648,            0.021813,             0.55654,            0.090092,            0.022428,           0.0036308,            0.093349,           0.0064097,             0.02463,           0.0021852,           0.0021852,            0.080285
                   5,            0.078733,            0.011318,            0.019897,             0.66172,             0.10972,             0.10018,            0.026714,             0.07522,           0.0076408,            0.017468,            0.002621,            0.002621,            0.076321
                   6,            0.072199,            0.011168,            0.015854,             0.15322,             0.47067,              0.1113,              0.0221,            0.073271,           0.0079449,            0.011304,           0.0030549,           0.0030549,            0.072355
                   7,            0.066786,             0.01136,            0.011154,             0.20137,             0.63668,             0.20384,            0.046643,            0.065944,            0.011591,            0.019555,           0.0034865,           0.0034865,            0.068386
                   8,             0.06199,            0.011192,           0.0076988,             0.22989,             0.55742,             0.22413,            0.088981,            0.059792,           0.0075154,           0.0034165,           0.0039155,           0.0039155,            0.064415
                   9,             0.05848,            0.011115,           0.0060682,             0.33845,             0.34849,             0.26479,            0.097029,            0.057039,           0.0077079,           0.0073391,           0.0043415,           0.0043415,            0.060441
                  10,            0.056061,            0.010408,           0.0056592,             0.24418,               0.503,             0.26963,             0.08089,            0.053788,           0.0093988,            0.002043,           0.0047642,           0.0047642,            0.056464
                  11,            0.053566,            0.010178,           0.0047856,              0.4548,              0.6389,             0.42941,             0.14308,            0.051216,           0.0062238,           0.0018892,           0.0051832,           0.0051832,            0.052483
                  12,            0.051975,           0.0097507,            0.004046,              0.5144,             0.57267,             0.48973,             0.16808,            0.057871,           0.0099351,           0.0046355,           0.0055982,           0.0055982,            0.048498
                  13,            0.050188,           0.0090854,           0.0037394,             0.44971,             0.65041,             0.51153,             0.19327,             0.05247,           0.0070787,            0.016056,           0.0060089,           0.0060089,            0.044509
                  14,            0.048491,            0.008656,           0.0031635,             0.42447,             0.58955,             0.43787,             0.15032,            0.051181,           0.0053176,           0.0037212,           0.0064149,           0.0064149,            0.040515
                  15,            0.047717,           0.0084946,           0.0033066,             0.57407,             0.58242,              0.5465,             0.22013,            0.048842,           0.0051119,           0.0021247,           0.0068159,           0.0068159,            0.036516
                  16,            0.046742,           0.0080506,           0.0034028,             0.59952,             0.56532,             0.56959,             0.26563,            0.053077,           0.0069042,            0.016371,           0.0072117,           0.0072117,            0.032512
                  17,            0.045246,            0.007882,           0.0026417,              0.5623,             0.69603,             0.55305,             0.29471,             0.04319,           0.0081039,           0.0033279,           0.0076018,           0.0076018,            0.028502
                  18,            0.043822,           0.0074995,            0.002363,             0.41216,             0.41041,             0.27031,            0.084003,            0.077941,           0.0063316,            0.019653,            0.007986,            0.007986,            0.024486
                  19,            0.042569,           0.0074815,           0.0027537,              0.6517,             0.80189,             0.66796,             0.30441,            0.041374,           0.0062076,           0.0011739,           0.0083639,           0.0083639,            0.020464
                  20,            0.042525,           0.0074359,           0.0026839,              0.7123,              0.6485,             0.65514,             0.30709,            0.048331,           0.0061538,            0.014125,           0.0087354,           0.0087354,            0.016435
                  21,            0.041805,           0.0069439,           0.0028791,             0.38135,             0.44862,             0.34198,             0.19108,            0.052589,            0.010725,           0.0035769,              0.0091,              0.0091,              0.0124
                  22,            0.041283,           0.0069209,           0.0022555,             0.80398,             0.73679,             0.80916,             0.39633,             0.03845,           0.0061658,           0.0010663,           0.0093547,           0.0093547,           0.0093547
                  23,            0.039951,           0.0066606,           0.0023573,             0.80671,             0.72313,              0.7523,              0.3718,            0.038999,           0.0052311,           0.0026061,           0.0093547,           0.0093547,           0.0093547
                  24,            0.038362,           0.0064123,           0.0021269,             0.78613,             0.78653,             0.80108,             0.42572,            0.036149,           0.0044339,           0.0031067,           0.0092965,           0.0092965,           0.0092965
                  25,            0.037714,           0.0062353,           0.0019678,              0.8384,             0.84095,             0.88174,             0.43621,            0.038485,           0.0037564,           0.0017627,           0.0092361,           0.0092361,           0.0092361
                  26,             0.03714,           0.0059611,           0.0018637,             0.77986,             0.73841,             0.80949,             0.39722,            0.037816,           0.0041032,            0.008646,           0.0091734,           0.0091734,           0.0091734
                  27,            0.036305,           0.0061154,            0.001928,              0.8309,             0.81107,             0.89038,             0.47598,            0.035145,           0.0043635,           0.0016468,           0.0091086,           0.0091086,           0.0091086
                  28,            0.035775,           0.0058918,           0.0016324,             0.89622,             0.84808,              0.9059,             0.50915,            0.031377,            0.004235,           0.0012863,           0.0090416,           0.0090416,           0.0090416
                  29,            0.034971,           0.0058994,            0.001783,             0.91495,             0.82332,             0.90712,             0.57817,            0.030115,           0.0031453,           0.0017432,           0.0089726,           0.0089726,           0.0089726
                  30,            0.035438,           0.0056315,           0.0016453,             0.91078,              0.9191,             0.93439,             0.63316,            0.027406,            0.002988,          0.00064565,           0.0089015,           0.0089015,           0.0089015
                  31,            0.033557,            0.005541,           0.0011205,              0.9052,             0.87937,              0.9191,             0.50195,            0.030425,           0.0032019,           0.0014876,           0.0088284,           0.0088284,           0.0088284
                  32,            0.033338,           0.0053743,           0.0013624,              0.9199,             0.91233,             0.94265,               0.632,            0.026242,           0.0029446,           0.0007752,           0.0087534,           0.0087534,           0.0087534
                  33,            0.033201,           0.0053847,           0.0014209,             0.84675,              0.8596,             0.90199,             0.50771,            0.034117,           0.0031174,           0.0024111,           0.0086765,           0.0086765,           0.0086765
                  34,            0.033034,           0.0053748,           0.0014549,              0.9221,             0.91028,             0.93983,             0.61144,            0.026989,            0.002633,          0.00046939,           0.0085978,           0.0085978,           0.0085978
                  35,            0.032699,           0.0053971,           0.0011026,             0.92328,             0.93845,             0.95103,             0.55595,            0.027783,           0.0026263,          0.00067263,           0.0085173,           0.0085173,           0.0085173
                  36,            0.031796,           0.0052059,           0.0011651,             0.89784,             0.93059,               0.932,             0.60674,             0.02663,            0.002515,          0.00073261,            0.008435,            0.008435,            0.008435
                  37,            0.031836,           0.0050939,          0.00098212,             0.88845,             0.92764,             0.93887,              0.5893,            0.028045,           0.0028747,          0.00079933,           0.0083511,           0.0083511,           0.0083511
                  38,             0.03182,           0.0049959,           0.0010658,              0.9367,             0.93216,             0.95017,             0.55091,            0.029182,           0.0027172,          0.00093438,           0.0082656,           0.0082656,           0.0082656
                  39,            0.030866,           0.0049505,          0.00097118,              0.9236,             0.92938,              0.9532,             0.65199,            0.025227,           0.0026569,          0.00064205,           0.0081786,           0.0081786,           0.0081786
                  40,            0.030924,           0.0048983,          0.00095869,             0.92921,             0.93483,             0.94814,              0.5991,            0.026282,           0.0026313,          0.00098828,             0.00809,             0.00809,             0.00809
                  41,            0.031012,           0.0048168,          0.00080719,             0.94292,             0.94008,             0.95512,             0.59414,            0.026442,           0.0026076,          0.00071773,               0.008,               0.008,               0.008
                  42,            0.030109,           0.0048379,          0.00086254,             0.93273,             0.95186,             0.95988,             0.64833,            0.025198,           0.0024925,          0.00059107,           0.0079086,           0.0079086,           0.0079086
                  43,            0.030301,           0.0049725,          0.00089289,             0.89493,             0.77127,             0.81186,             0.51133,            0.037786,           0.0039685,           0.0069753,            0.007816,            0.007816,            0.007816
                  44,            0.031733,           0.0052963,           0.0014866,          2.9237e-05,           0.0016393,          4.1936e-07,          9.7185e-08,             0.12332,           0.0083745,             0.32046,            0.007722,            0.007722,            0.007722
                  45,            0.032689,           0.0056795,           0.0016335,             0.76197,             0.54951,             0.63972,              0.3585,            0.045667,           0.0060992,           0.0041426,           0.0076269,           0.0076269,           0.0076269
                  46,            0.031333,           0.0052255,            0.001393,             0.91439,             0.92529,             0.94643,             0.57664,            0.028793,           0.0026132,           0.0012934,           0.0075307,           0.0075307,           0.0075307
                  47,            0.030577,           0.0048233,          0.00095018,             0.93633,             0.93845,             0.96097,             0.64372,            0.025205,           0.0024178,          0.00082823,           0.0074335,           0.0074335,           0.0074335
                  48,            0.030048,             0.00492,           0.0011947,             0.87791,             0.89406,             0.92437,             0.60126,            0.029241,           0.0030478,           0.0016004,           0.0073352,           0.0073352,           0.0073352
                  49,            0.030091,           0.0047843,          0.00088636,             0.90005,             0.92931,             0.94871,              0.6551,            0.026653,           0.0025882,          0.00063413,           0.0072361,           0.0072361,           0.0072361
                  50,            0.029508,           0.0048316,          0.00098341,             0.92662,             0.95516,             0.95686,             0.68117,            0.024047,           0.0023787,          0.00042715,           0.0071361,           0.0071361,           0.0071361
                  51,            0.029014,             0.00474,          0.00095212,             0.95116,             0.94131,             0.95129,              0.6786,            0.023893,           0.0025556,          0.00047824,           0.0070353,           0.0070353,           0.0070353
                  52,            0.029508,           0.0047732,          0.00093242,             0.94849,             0.95418,             0.95708,             0.65629,            0.025874,           0.0023421,          0.00061797,           0.0069338,           0.0069338,           0.0069338
                  53,            0.029224,             0.00468,          0.00079834,             0.94636,             0.92498,             0.96243,             0.69578,             0.02358,           0.0023417,          0.00052211,           0.0068316,           0.0068316,           0.0068316
                  54,            0.029184,             0.00458,           0.0010919,             0.93663,             0.95628,             0.96043,             0.65044,            0.024476,           0.0022496,          0.00051768,           0.0067289,           0.0067289,           0.0067289
                  55,            0.028821,           0.0046496,          0.00081445,             0.94917,             0.95017,             0.96285,             0.69668,            0.022924,           0.0023334,          0.00036528,           0.0066257,           0.0066257,           0.0066257
                  56,            0.027887,           0.0045488,          0.00064916,             0.94009,             0.95696,             0.95728,             0.67785,            0.023012,           0.0023426,          0.00040191,           0.0065221,           0.0065221,           0.0065221
