               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07692,            0.029664,            0.063175,          0.00050142,             0.14063,          0.00021546,          2.9618e-05,            0.052617,            0.014022,            0.041871,             0.00104,             0.00104,             0.09064
                   1,            0.069149,            0.029434,            0.058927,           0.0076976,             0.10285,           0.0038344,          0.00065805,            0.049136,            0.013463,            0.041044,           0.0020895,           0.0020895,            0.081189
                   2,            0.061195,            0.030329,            0.057699,             0.15761,             0.28928,            0.037676,           0.0097495,            0.037159,             0.01498,            0.040299,           0.0031369,           0.0031369,            0.071737
                   3,             0.05195,            0.028932,            0.057426,            0.081629,             0.33417,            0.080804,            0.032542,            0.032203,            0.012725,            0.039654,           0.0041808,           0.0041808,            0.062281
                   4,            0.046261,            0.025744,            0.056717,             0.08109,             0.37484,            0.074017,            0.030592,            0.036523,            0.010744,            0.039288,           0.0052196,           0.0052196,             0.05282
                   5,            0.042136,              0.0239,            0.056115,             0.32627,             0.37998,             0.11793,            0.065166,            0.026871,            0.011031,            0.037509,           0.0062518,           0.0062518,            0.043352
                   6,            0.040409,             0.02275,            0.053442,             0.37987,             0.50699,             0.25109,             0.14605,            0.023348,            0.010164,            0.033363,           0.0072758,           0.0072758,            0.033876
                   7,            0.037637,            0.021092,            0.050754,             0.28613,             0.42105,             0.24613,             0.14677,            0.023638,           0.0098175,            0.032573,           0.0082903,           0.0082903,             0.02439
                   8,            0.037846,            0.021113,            0.048598,             0.31762,               0.376,             0.23579,             0.12277,            0.029016,            0.010072,            0.035859,           0.0092937,           0.0092937,            0.014894
                   9,            0.036953,            0.020851,             0.04711,             0.32255,             0.41108,             0.30136,             0.17152,            0.025523,            0.010376,            0.032459,           0.0098042,           0.0098042,           0.0098042
                  10,             0.03535,            0.019933,            0.045147,             0.14031,             0.44938,             0.20195,             0.11176,            0.029088,            0.012192,             0.05791,           0.0098042,           0.0098042,           0.0098042
                  11,            0.034732,             0.01966,            0.042158,             0.65695,             0.44694,             0.45147,             0.28484,            0.021022,           0.0081744,             0.02686,           0.0097588,           0.0097588,           0.0097588
                  12,            0.033834,            0.019627,            0.038224,             0.50655,             0.59573,             0.52019,             0.34433,            0.019224,           0.0075005,            0.021363,           0.0097087,           0.0097087,           0.0097087
                  13,            0.033258,            0.018453,            0.037926,             0.60224,             0.49758,             0.55283,             0.37884,            0.020722,           0.0080609,            0.022136,           0.0096542,           0.0096542,           0.0096542
                  14,            0.032836,             0.01864,            0.036256,             0.34857,             0.45726,              0.3663,             0.24358,            0.020591,           0.0086614,            0.034637,           0.0095952,           0.0095952,           0.0095952
                  15,             0.03183,            0.018461,             0.03539,             0.63405,             0.57786,             0.59086,              0.3787,            0.021179,           0.0075436,            0.017024,           0.0095318,           0.0095318,           0.0095318
                  16,             0.03105,            0.017973,            0.032765,              0.6813,             0.65971,             0.72525,             0.52893,            0.016633,           0.0063166,            0.013451,           0.0094641,           0.0094641,           0.0094641
                  17,            0.032086,            0.017873,            0.033294,             0.70929,             0.55623,             0.64449,             0.45517,            0.018004,           0.0070277,            0.020034,           0.0093922,           0.0093922,           0.0093922
                  18,            0.030719,            0.017568,            0.030506,             0.70108,             0.66706,             0.72868,             0.52869,            0.016827,           0.0066902,            0.015339,           0.0093162,           0.0093162,           0.0093162
                  19,            0.030168,            0.017075,            0.031639,             0.59288,             0.73621,             0.73722,              0.5347,             0.01639,           0.0067069,            0.016005,           0.0092361,           0.0092361,           0.0092361
                  20,            0.030811,            0.017198,            0.029514,             0.63252,             0.68621,              0.7294,             0.52355,            0.016858,           0.0070534,            0.016835,            0.009152,            0.009152,            0.009152
                  21,            0.030375,            0.017157,            0.028734,             0.66644,             0.77828,             0.79487,             0.58587,            0.015754,           0.0060089,            0.012639,           0.0090642,           0.0090642,           0.0090642
                  22,            0.029763,            0.016543,            0.029784,             0.69212,               0.804,              0.8334,             0.63066,            0.015054,           0.0061206,            0.011044,           0.0089726,           0.0089726,           0.0089726
                  23,            0.028849,            0.016609,            0.027443,             0.72034,             0.76914,             0.80588,             0.60489,             0.01499,           0.0062743,            0.011624,           0.0088774,           0.0088774,           0.0088774
                  24,            0.029297,            0.016187,            0.026627,             0.72092,             0.78513,             0.83518,             0.61664,            0.015901,             0.00596,             0.01043,           0.0087786,           0.0087786,           0.0087786
                  25,            0.028593,            0.016444,            0.026051,             0.78613,             0.78754,             0.86758,              0.6566,            0.015245,           0.0060758,           0.0093846,           0.0086765,           0.0086765,           0.0086765
                  26,            0.028344,            0.016266,            0.025948,             0.74044,             0.59057,             0.67392,             0.50122,            0.017021,           0.0077076,            0.019743,           0.0085712,           0.0085712,           0.0085712
