               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099992,            0.045259,            0.051367,          0.00042833,            0.062563,          0.00043597,          0.00010558,             0.09019,            0.038049,            0.046155,             0.00033,             0.00033,             0.09703
                   1,            0.095581,            0.046435,            0.042967,          0.00042875,            0.062625,          0.00025273,          3.8487e-05,            0.089985,            0.038175,            0.043564,          0.00066987,          0.00066987,             0.09397
                   2,             0.09451,            0.047107,            0.040809,           0.0004289,            0.062646,          0.00037404,          5.8694e-05,            0.090082,            0.038195,            0.042812,           0.0010092,           0.0010092,            0.090909
                   3,             0.09391,            0.047937,            0.039649,             0.62557,            0.062792,          0.00062165,          9.6911e-05,            0.089864,            0.038279,            0.042472,           0.0013476,           0.0013476,            0.087848
                   4,            0.093057,            0.048095,            0.039956,           0.0016556,             0.03297,          0.00081412,          0.00013216,            0.089236,            0.038131,             0.04196,           0.0016847,           0.0016847,            0.084785
                   5,            0.090382,            0.048183,            0.039247,           0.0078565,             0.01441,           0.0026993,          0.00050196,            0.086609,            0.039348,            0.041586,             0.00202,             0.00202,             0.08172
                   6,            0.086896,            0.048352,            0.038366,           0.0019415,            0.008154,          0.00068798,           0.0001154,            0.092972,            0.043216,            0.042747,           0.0023532,           0.0023532,            0.078653
                   7,             0.08335,            0.046065,            0.035489,             0.04616,            0.093478,            0.030529,           0.0070838,            0.083475,            0.044338,            0.039907,           0.0026839,           0.0026839,            0.075584
                   8,            0.079519,            0.042314,            0.030614,             0.53041,            0.081987,            0.016205,           0.0039356,            0.089904,            0.042361,            0.040154,           0.0030117,           0.0030117,            0.072512
                   9,              0.0766,            0.039771,            0.027794,             0.85868,             0.10984,            0.089356,            0.029107,            0.075994,            0.033643,            0.031129,           0.0033362,           0.0033362,            0.069436
                  10,            0.072687,            0.037102,            0.024353,             0.57603,            0.059774,            0.030355,           0.0078263,            0.093326,            0.046327,            0.036073,            0.003657,            0.003657,            0.066357
                  11,            0.069179,            0.034939,            0.021429,             0.31015,             0.24486,              0.1913,            0.071403,             0.05781,              0.0266,            0.019497,           0.0039738,           0.0039738,            0.063274
                  12,            0.065692,            0.034563,            0.019394,             0.48087,             0.23973,             0.22376,            0.091438,            0.058776,            0.028648,            0.020975,           0.0042861,           0.0042861,            0.060186
                  13,            0.063208,            0.033334,            0.018064,             0.44762,             0.38318,             0.29545,             0.11456,            0.051838,             0.02481,            0.016705,           0.0045937,           0.0045937,            0.057094
                  14,            0.060798,            0.032321,            0.016894,             0.42381,             0.38949,             0.28724,             0.10645,             0.05226,            0.024379,            0.016416,           0.0048962,           0.0048962,            0.053996
                  15,            0.058399,            0.031804,            0.016038,             0.30572,             0.35521,              0.2887,             0.11646,            0.053865,            0.024581,            0.016678,           0.0051933,           0.0051933,            0.050893
                  16,            0.057331,            0.030499,            0.015413,              0.5465,             0.27863,             0.20072,            0.084347,             0.05551,            0.028964,            0.019378,           0.0054845,           0.0054845,            0.047785
                  17,            0.055953,            0.030608,            0.014698,             0.47769,             0.44903,             0.37649,             0.16579,            0.046891,            0.022747,             0.01441,           0.0057697,           0.0057697,             0.04467
                  18,            0.053451,             0.03025,            0.014045,             0.49001,             0.45103,             0.36962,             0.15136,            0.048801,            0.022412,            0.014085,           0.0060484,           0.0060484,            0.041548
                  19,            0.053645,            0.029374,            0.013934,             0.47826,             0.25491,              0.2348,             0.10675,             0.05778,            0.030736,            0.019713,           0.0063204,           0.0063204,             0.03842
                  20,            0.051855,            0.029142,             0.01309,             0.58548,             0.49403,             0.44358,             0.19972,            0.043934,             0.02232,            0.012693,           0.0065853,           0.0065853,            0.035285
                  21,            0.051457,             0.02846,            0.012594,             0.62628,             0.49338,             0.45671,             0.19432,            0.044347,            0.021142,            0.012551,            0.006843,            0.006843,            0.032143
                  22,            0.050324,            0.028186,             0.01227,             0.63929,             0.51644,             0.47833,             0.21086,             0.04216,            0.021131,            0.011968,           0.0070931,           0.0070931,            0.028993
                  23,            0.047703,            0.027883,             0.01187,             0.66985,             0.51942,             0.49749,             0.21952,            0.042371,            0.021346,            0.011648,           0.0073354,           0.0073354,            0.025835
                  24,            0.048176,            0.027743,             0.01154,             0.71086,             0.56535,             0.56496,             0.25182,            0.040767,            0.019849,             0.01104,           0.0075696,           0.0075696,             0.02267
                  25,            0.046831,            0.026713,            0.011402,             0.74471,             0.58112,              0.5732,              0.2604,            0.039617,            0.019287,            0.011025,           0.0077955,           0.0077955,            0.019496
                  26,            0.045926,            0.027111,             0.01132,             0.73024,             0.57969,             0.57638,             0.24578,            0.042468,            0.019171,            0.010577,           0.0080129,           0.0080129,            0.016313
                  27,            0.045308,            0.026697,            0.010666,             0.74357,             0.57349,             0.57928,             0.26891,            0.039617,            0.018973,            0.010313,           0.0082216,           0.0082216,            0.013122
                  28,            0.045215,            0.026516,             0.01074,             0.76911,             0.56744,             0.59965,              0.2836,            0.039645,            0.019213,            0.010292,           0.0084215,           0.0084215,           0.0099215
                  29,             0.04362,            0.026168,            0.010288,             0.70603,              0.5084,             0.51254,             0.22858,            0.043254,            0.019866,            0.010378,           0.0084516,           0.0084516,           0.0084516
                  30,            0.042776,            0.026057,            0.010272,             0.78473,              0.5843,             0.59611,             0.27667,            0.039558,            0.019892,            0.010054,           0.0084516,           0.0084516,           0.0084516
