               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098942,            0.044936,             0.05383,           0.0003424,            0.052747,          0.00019755,          3.0288e-05,            0.089511,            0.039547,            0.048315,              0.0004,              0.0004,              0.0964
                   1,            0.095051,            0.046738,            0.045355,          0.00034714,            0.053478,          0.00022103,          3.3968e-05,            0.089605,            0.039514,            0.046474,          0.00080984,          0.00080984,             0.09271
                   2,            0.094042,            0.047439,             0.04418,           0.0003608,            0.054209,          0.00025598,          3.9175e-05,            0.089416,            0.039647,            0.045913,            0.001219,            0.001219,            0.089019
                   3,            0.092839,            0.047353,            0.043434,              0.3338,            0.052265,          0.00031562,          4.9646e-05,             0.08903,            0.039187,             0.04553,           0.0016271,           0.0016271,            0.085327
                   4,             0.09176,            0.048018,            0.043532,             0.33415,           0.0082926,          0.00039367,          6.0952e-05,            0.088633,            0.039268,            0.045231,           0.0020336,           0.0020336,            0.081634
                   5,            0.090391,            0.048169,            0.042944,             0.33427,           0.0055007,            0.000387,          6.0126e-05,            0.091688,             0.03793,            0.045689,           0.0024379,           0.0024379,            0.077938
                   6,            0.086796,             0.04783,            0.042243,             0.66737,            0.017449,           0.0003867,          6.2519e-05,            0.089925,            0.041015,            0.045037,           0.0028397,           0.0028397,             0.07424
                   7,            0.081326,            0.046138,             0.03877,             0.36419,            0.028194,            0.011753,           0.0027801,            0.090626,            0.037598,            0.047588,           0.0032385,           0.0032385,            0.070538
                   8,            0.075942,            0.040485,            0.034204,             0.76511,             0.10163,            0.083195,            0.020799,             0.07325,            0.036017,             0.03331,           0.0036338,           0.0036338,            0.066834
                   9,            0.071042,            0.036942,            0.030031,             0.74373,            0.060024,            0.047938,            0.013073,            0.085398,            0.042308,            0.040424,            0.004025,            0.004025,            0.063125
                  10,            0.066977,            0.035132,             0.02654,             0.38841,             0.27238,             0.19039,            0.062107,            0.057827,            0.028683,            0.025231,           0.0044119,           0.0044119,            0.059412
                  11,            0.062831,             0.03381,            0.023687,             0.55869,             0.23279,             0.22985,             0.10672,            0.056068,            0.029704,            0.025014,           0.0047939,           0.0047939,            0.055694
                  12,            0.060681,             0.03312,            0.021749,             0.42269,             0.46011,             0.36612,             0.15701,            0.049409,            0.024946,            0.018822,           0.0051706,           0.0051706,            0.051971
                  13,            0.057492,            0.031792,            0.019473,              0.4378,             0.37266,             0.31338,             0.12764,            0.051249,            0.025736,            0.018445,           0.0055415,           0.0055415,            0.048241
                  14,            0.056435,            0.031021,            0.017576,             0.47306,             0.24729,             0.19866,            0.091696,            0.063682,            0.032219,            0.039673,           0.0059063,           0.0059063,            0.044506
                  15,            0.054474,            0.029938,            0.016239,             0.57353,             0.50961,             0.46511,              0.1895,            0.047185,            0.023285,            0.013822,           0.0062644,           0.0062644,            0.040764
                  16,            0.053395,            0.030131,            0.015257,             0.60169,             0.49727,             0.47134,             0.19969,            0.046681,            0.022588,            0.014033,           0.0066156,           0.0066156,            0.037016
                  17,              0.0525,            0.029101,             0.01399,             0.63611,             0.31552,             0.32022,              0.1551,            0.053234,            0.027554,            0.024968,           0.0069595,           0.0069595,            0.033259
                  18,            0.050139,             0.02848,            0.013101,             0.64544,             0.53248,             0.54747,             0.25113,            0.042265,            0.021338,            0.011977,           0.0072955,           0.0072955,            0.029496
                  19,            0.049946,             0.02839,            0.012767,             0.69516,             0.58089,             0.58111,             0.26161,            0.040642,            0.020626,            0.011218,           0.0076235,           0.0076235,            0.025724
                  20,            0.047564,             0.02765,            0.012005,             0.69596,             0.57404,             0.57194,             0.25659,            0.042236,            0.021109,            0.011143,            0.007943,            0.007943,            0.021943
                  21,            0.046704,            0.027757,             0.01199,             0.55612,              0.4159,             0.40644,              0.1933,            0.047508,             0.02601,            0.018645,           0.0082537,           0.0082537,            0.018154
                  22,            0.046318,            0.027145,            0.011551,             0.74909,             0.61953,             0.63967,             0.30692,            0.039005,            0.019266,            0.010005,           0.0085553,           0.0085553,            0.014355
                  23,            0.045108,            0.026635,            0.010985,             0.61374,             0.38283,             0.37065,              0.1804,            0.051193,            0.027145,            0.027769,           0.0088474,           0.0088474,            0.010547
                  24,            0.043871,            0.026534,            0.010536,             0.72375,             0.34669,             0.36268,             0.17504,            0.051594,            0.029184,            0.033499,           0.0089159,           0.0089159,           0.0089159
                  25,            0.043364,             0.02599,            0.010448,             0.43013,             0.47591,             0.43118,             0.20617,            0.047796,            0.028159,            0.023287,           0.0089159,           0.0089159,           0.0089159
                  26,             0.04275,            0.025718,           0.0098987,             0.85909,             0.64506,             0.71225,             0.34341,            0.036972,            0.018074,            0.008505,           0.0088284,           0.0088284,           0.0088284
                  27,            0.042009,            0.025052,           0.0095638,             0.74296,               0.612,             0.63148,             0.28789,            0.039859,            0.020493,           0.0099068,           0.0087382,           0.0087382,           0.0087382
